type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,10.6476,0.2489,0.0514,3.9184,0.14,26.1241,71.8284,1,3.2,0.9,10.7,6
red,11.4396,0.7659,0.3836,2.2084,0.17,18.4682,137.2462,0.99,1.5,0.8,13.2,6
red,13.8792,0.3658,0.6541,2.172,0.12,4.6384,51.5303,0.99,1.4,0.9,12,3
red,13.6846,0.5319,0.0525,2.5351,0.17,57.8919,116.5146,0.99,2.4,0.6,5.7,5
red,11.8108,0.6886,0.7708,3.3131,0.08,21.9821,24.5043,1,2.1,1.2,13.1,5
red,12.4933,1.2036,0.7523,0.0611,0.18,27.0313,20.0958,0.99,1.5,1,12.6,4
red,13.2327,0.4699,0.5185,1.2712,0.08,32.3533,35.069,0.99,2.9,1.1,7.8,6
red,2.2732,0.8512,0.3179,0.506,0.11,44.5159,33.8899,1,1.8,0.3,5.1,4
red,12.2079,0.3794,0.4263,5.6111,0.11,16.0197,139.3292,1,2.7,0.9,6.9,4
red,7.086,0.304,0.6507,4.3665,0.14,52.2777,159.1573,1,2.6,0.4,12.5,7
red,14.832,0.8605,0.6638,2.8257,0.09,22.9374,139.1986,1.01,2,0.4,12.3,3
red,13.3684,1.2326,0.324,5.5204,0.12,13.7942,68.5378,1,2.3,1.2,12,5
red,10.9086,0.3606,0.3115,4.5989,0.09,35.6319,151.4577,0.99,3.8,0.5,4.6,5
red,3.2916,0.2394,0.5556,3.104,0.06,17.1663,17.7098,0.99,3.5,1.1,5.8,5
red,10.0373,0.9506,0.4407,5.4443,0.2,26.5327,48.6021,0.99,2.6,0.7,7.2,8
red,1.0918,0.0555,0.1634,4.3002,0.13,53.8691,31.6514,1,3.4,0.7,7.5,7
red,7.0071,0.0379,0.1288,4.8759,0.17,9.878,44.8372,1,2.5,0.7,12.2,6
red,11.7025,0.9265,0.0278,3.1841,0.11,58.2393,18.8285,1,2.2,0.3,5.6,6
red,14.7936,0.4933,0.2838,5.2871,0.06,24.0349,149.8758,0.99,2.6,1.1,8.3,3
red,6.6678,1.3401,0.7758,1.653,0.08,47.7245,17.7555,1,2,1.2,9.3,6
red,3.8286,0.8373,0.0223,5.7754,0.14,21.5804,73.7649,0.99,2.5,0.5,6.4,6
red,4.8858,0.7445,0.6226,6.5968,0.08,2.5063,57.5969,1,1.4,0.4,8.5,6
red,6.0354,1.3447,0.4376,5.8685,0.14,45.1465,146.1824,1,2.2,0.7,9.9,3
red,8.7455,0.058,0.6438,6.9778,0.18,21.5908,14.8642,0.99,2,1.2,7.4,4
red,6.2755,0.6379,0.7437,0.6323,0.06,55.8651,134.9427,0.99,2.6,1,6,5
red,3.9707,0.0095,0.442,5.4034,0.18,21.7073,50.6654,1,1.8,0.7,12.8,3
red,10.0851,0.9831,0.6969,3.0284,0.13,21.263,12.5122,1,1.7,0.5,5,8
red,12.2267,0.7114,0.02,3.1225,0.07,16.6321,124.063,1.01,2,1.1,8.5,8
red,9.7303,0.1486,0.0928,2.7431,0.18,9.6792,27.853,0.99,2.8,0.3,5.9,8
red,5.1367,0.0938,0.3503,1.8296,0.07,41.9457,34.1699,1,3.8,1.2,9,3
red,3.4509,1.0741,0.0205,5.7794,0.09,4.4635,156.9563,1.01,3.1,0.4,5.7,6
red,14.511,1.3293,0.131,5.4023,0.2,28.109,107.7387,1,2.4,0.9,9.5,3
red,10.0262,0.1692,0.6761,2.3812,0.1,21.8323,159.5503,1,1.8,0.9,9.9,3
red,13.2158,0.8205,0.7646,3.9638,0.15,57.9787,69.9059,1.01,2,0.3,10.1,5
red,7.517,0.4294,0.1119,6.3873,0.07,31.5943,73.0538,1,2.8,0.3,11.1,4
red,1.5637,0.2958,0.3516,0.3308,0.14,59.4716,118.9666,1,3.1,1.3,6.6,8
red,14.7373,0.6193,0.3156,3.4206,0.11,23.0974,27.1677,1,1.6,0.7,4.9,3
red,14.7371,0.9679,0.1069,0.5405,0.11,45.7309,71.7593,1.01,2.4,0.7,12.3,4
red,6.1003,1.219,0.3555,6.3115,0.17,47.6152,100.4373,1.01,2,1.3,4.6,6
red,3.4267,0.5817,0.1562,5.7467,0.08,25.8938,160.2351,1,1.9,0.6,10.9,7
red,14.6373,0.6537,0.4953,2.5793,0.06,38.2846,128.4059,1.01,2.7,0.6,8.6,4
red,7.3936,0.0443,0.1052,4.2854,0.06,6.201,43.6123,0.99,2.9,1.3,13.1,7
red,9.8712,0.9781,0.7349,4.2404,0.07,56.4433,148.5671,0.99,3.6,1.3,5.4,6
red,1.061,0.0516,0.7877,5.1191,0.06,10.1138,65.8774,0.99,1.7,0.3,4.9,8
red,7.2887,0.1654,0.7792,2.1184,0.08,37.8659,104.9821,1,2.2,0.9,9,8
red,0.8257,1.1529,0.1176,6.5529,0.13,15.8501,33.6122,0.99,2.7,0.5,9,3
red,14.8002,0.4982,0.7785,1.37,0.06,54.0759,100.5879,1,3.5,0.8,11.2,4
red,13.1367,0.2625,0.668,6.7007,0.07,31.9495,143.3337,1.01,3.4,1,12.7,5
red,9.9089,0.497,0.2776,2.3029,0.17,20.7936,137.5013,0.99,1.5,0.8,6.2,7
red,5.516,0.9089,0.5448,5.1802,0.2,41.2359,62.193,0.99,1.7,0.9,11.6,5
red,9.0699,0.4945,0.7787,6.3336,0.14,23.6537,150.8787,0.99,2.5,0.9,9,5
red,8.7863,1.253,0.1533,4.7191,0.15,52.3892,103.7861,0.99,2.8,0.4,7.6,7
red,8.846,0.4242,0.169,5.6064,0.16,52.7273,27.6659,0.99,3.3,1.1,10.4,4
red,1.2108,0.1281,0.2593,2.3651,0.09,23.8142,73.6353,1,2,0.4,10,5
red,1.3048,0.028,0.6018,0.9574,0.15,45.0146,17.9149,1,2.6,1.3,8.5,3
red,14.1879,1.0989,0.0615,1.5499,0.1,32.7444,61.2582,0.99,2.6,1.3,9.4,8
red,1.6869,1.2534,0.4043,0.9406,0.15,25.0294,59.5851,1.01,2.3,0.7,5.1,8
red,13.8375,0.7945,0.7307,0.7465,0.14,5.4932,40.2759,1,1.9,1,12.3,3
red,11.5019,0.1945,0.0962,0.6571,0.07,36.0138,76.9354,1,2.2,0.8,11.8,6
red,11.6552,0.5249,0.6865,0.8405,0.14,27.5007,53.2181,1,2.5,1.1,11.4,3
red,14.5362,0.2479,0.0145,1.7899,0.1,15.1685,146.8295,0.99,2.3,1.2,6.6,6
red,0.5002,0.6599,0.471,4.1167,0.11,33.2599,28.0845,1,3.7,1.2,8.8,6
red,2.4691,0.4264,0.3337,0.686,0.07,2.9043,11.4376,0.99,3.7,0.9,5.7,5
red,11.1353,0.4757,0.634,5.8985,0.15,28.863,122.0445,1,3.3,1.1,8.5,8
red,8.6651,0.7327,0.2029,1.367,0.07,6.0559,126.2379,1,3.3,0.4,9.9,3
red,12.4056,0.1568,0.6975,6.4119,0.15,14.2257,13.9603,0.99,3.1,0.9,5.3,7
red,2.637,0.0427,0.5401,0.8722,0.09,24.1823,34.2694,1.01,2.7,0.5,10.1,5
red,1.6916,0.069,0.7187,5.4809,0.05,21.0744,115.1383,1,3.2,1.3,8.4,8
red,10.117,0.5427,0.2495,0.4796,0.19,21.8722,150.4685,1,2.4,0.4,7.7,4
red,3.7419,1.1602,0.5434,4.8342,0.07,12.6845,93.0703,1,2,0.4,10.7,4
red,7.9584,0.0044,0.6274,4.9929,0.1,40.1568,125.8817,0.99,3.8,0.7,7.7,6
red,7.8518,0.8102,0.7259,2.7329,0.1,34.3282,149.6338,1.01,1.5,0.9,10,7
red,11.5244,0.9412,0.3941,0.7685,0.16,42.5756,164.5929,0.99,1.8,1.1,9.4,7
red,0.3806,0.0875,0.4522,0.2631,0.17,44.6088,22.2461,0.99,1.4,0.5,5.4,4
red,6.5227,0.254,0.5273,2.6617,0.08,11.98,26.3021,1,2.2,0.8,13.2,6
red,0.7723,0.5265,0.7485,5.9147,0.2,47.2323,116.2644,1,2.4,1,10.5,7
red,14.3625,0.9969,0.7974,6.5876,0.19,19.4993,123.299,0.99,1.9,0.8,12,7
red,3.2041,0.9861,0.631,0.5528,0.18,41.6745,127.1928,1,3.3,0.3,9.2,5
red,10.616,1.2825,0.5682,1.5528,0.19,17.4724,20.3329,1,3.2,1.2,7.8,4
red,12.6159,0.4117,0.0452,0.4392,0.19,9.9987,58.1153,0.99,1.5,0.7,12.7,7
red,2.9676,0.9643,0.7325,4.9617,0.14,29.661,100.2639,1,3.3,1.2,6.1,6
red,2.0831,0.565,0.1685,3.1203,0.19,32.3116,165.7614,0.99,1.7,1.1,13.4,7
red,3.3379,1.1072,0.3281,2.141,0.07,38.4531,136.8408,1,3.7,0.3,4.6,6
red,11.8849,0.1321,0.5628,2.8853,0.18,9.1465,114.5234,0.99,2.5,0.3,10.5,6
red,1.4501,0.4269,0.2908,0.4608,0.14,39.5973,13.8422,1.01,3.2,0.5,13,6
red,9.6997,0.166,0.4787,0.7396,0.06,36.8653,125.6451,0.99,3.8,0.6,12.5,4
red,5.9285,0.956,0.6713,1.304,0.1,5.0265,84.2156,1,2.6,0.6,7.8,5
red,4.0714,0.14,0.113,6.9129,0.13,27.0744,11.2687,1.01,2.3,0.3,7.2,5
red,5.0472,0.3776,0.5426,5.5476,0.09,49.3831,36.8821,1,3.7,1.3,10.2,7
red,10.9541,0.1004,0.293,4.3004,0.19,46.2046,63.1759,1.01,2.2,0.3,9.4,6
red,1.5648,1.3258,0.4782,1.697,0.06,33.8926,153.1134,0.99,2.5,0.3,13.4,5
red,12.2087,0.4582,0.0796,3.7001,0.06,58.4246,167.1768,0.99,3.4,0.5,10.9,8
red,0.7759,0.6361,0.6115,6.362,0.1,17.4174,64.7506,0.99,2.4,0.8,9.7,5
red,9.7972,0.107,0.2255,3.4485,0.19,36.2971,23.3171,1,2.9,1.1,8.7,8
red,11.2176,0.5155,0.5642,1.8687,0.09,44.3916,107.7813,0.99,2.1,1,10,4
red,2.7876,0.3713,0.6698,3.955,0.13,38.3924,28.4863,0.99,1.6,0.3,7.7,4
red,10.5284,1.3209,0.3901,3.5845,0.2,9.4573,78.2013,1,3,1.1,12.1,6
red,8.7209,1.2403,0.3617,6.9266,0.16,30.3256,20.5043,1,3.5,1,10.2,7
red,8.7337,0.8352,0.3049,3.4668,0.12,39.1682,22.3609,1.01,2.8,1.2,6.9,6
red,14.9334,0.5657,0.5081,4.6817,0.11,10.8729,121.1561,0.99,2.4,0.5,5.6,3
red,12.5869,0.8041,0.5515,2.3672,0.06,30.0437,132.4277,1,2.2,1.1,10.5,4
red,2.1584,0.1675,0.3683,3.4432,0.05,50.0601,88.5928,0.99,2.6,0.7,11.9,4
red,3.6803,0.065,0.1466,1.0079,0.09,8.4104,145.1623,0.99,1.4,0.3,13.2,6
red,6.6931,0.5669,0.7231,1.1441,0.16,18.8253,92.5052,0.99,2.6,0.9,7.2,4
red,7.9491,0.9517,0.6131,6.2768,0.17,16.9054,145.0628,0.99,1.8,0.5,13.1,3
red,0.0914,0.486,0.4,5.8881,0.09,8.9982,123.7741,1,1.7,0.3,10,4
red,2.6601,0.9976,0.2092,3.744,0.16,1.4951,66.6334,1.01,3.4,1.3,11.9,8
red,5.6096,0.046,0.5309,6.1001,0.2,29.6518,168.1775,1,2,1.1,6.2,6
red,2.7163,1.2253,0.4296,4.1912,0.05,13.7834,84.8986,0.99,1.4,0.4,9.8,6
red,7.0027,0.2853,0.0166,6.3628,0.18,24.2163,130.4851,1,2.4,1,10.7,7
red,14.3663,1.0004,0.0755,2.0469,0.11,25.6679,62.5865,0.99,2.5,0.4,12.8,5
red,1.4365,0.0261,0.0237,3.2669,0.08,5.1112,70.5281,1.01,2.8,0.3,5.7,3
red,7.4779,1.0197,0.0622,5.9778,0.15,20.0128,55.6586,0.99,1.8,1,12.2,8
red,8.4761,0.6266,0.7886,6.7988,0.07,23.1438,130.9221,1,3.6,0.5,6.4,5
red,7.9718,0.0266,0.424,3.1101,0.16,45.1799,41.5117,1,2.8,1.1,9.7,4
red,5.6157,0.9388,0.0797,3.6738,0.13,6.8302,66.538,1,3.4,0.7,12.2,8
red,12.7737,1.2241,0.617,4.876,0.13,31.7663,99.0157,1.01,3.3,1,13.3,3
red,9.756,0.3539,0.6711,0.7882,0.05,46.6185,20.6199,0.99,2.1,1,5.3,6
red,11.1692,1.1717,0.7791,1.4921,0.14,39.4665,81.7836,0.99,3.6,1.3,12.9,3
red,14.1656,1.277,0.4386,2.2285,0.05,23.5557,91.0109,0.99,3.5,0.4,4.6,4
red,13.4569,1.029,0.1749,3.8272,0.2,18.0839,69.737,1,2.3,1.2,11.2,4
red,13.9692,0.0766,0.0049,1.7742,0.08,4.682,56.2417,0.99,3.8,0.8,7.4,3
red,5.0848,0.8153,0.3535,6.1789,0.16,29.7441,77.983,0.99,2.4,1.1,8.7,7
red,4.4913,0.8697,0.4014,5.412,0.11,11.3168,106.3809,1,2.4,1,12.9,8
red,11.5572,1.021,0.4371,3.1032,0.13,37.0966,148.0876,0.99,2.9,1.3,11.7,6
red,2.057,0.7222,0.0167,4.4615,0.18,45.5582,28.4761,1,2.5,0.6,5.8,5
red,1.8671,0.7669,0.7079,2.0291,0.19,36.656,69.0575,1.01,1.8,0.3,7.5,8
red,7.5867,0.895,0.0046,4.0514,0.1,46.1068,93.7741,0.99,2.5,1,4.6,4
red,6.1932,0.8325,0.2149,2.3596,0.16,58.1206,150.5962,1.01,1.9,1.1,12.4,6
red,6.2097,1.1699,0.6725,6.6673,0.16,7.545,49.0147,0.99,3.8,0.8,5.1,5
red,6.1475,0.1037,0.5111,0.6623,0.17,32.189,87.6395,1,2.7,0.8,5.7,4
red,9.807,0.9626,0.2663,2.4059,0.08,34.6312,22.1228,1,3.4,1,11.9,5
red,2.1657,1.1946,0.3657,4.6668,0.16,13.7624,151.8989,0.99,1.5,0.3,8,5
red,10.2773,0.9151,0.692,1.7036,0.19,47.0178,110.1643,1,2.1,0.3,5.3,7
red,2.4479,0.7888,0.4176,3.5389,0.14,12.9622,162.7393,0.99,2.5,0.6,8.2,6
red,10.6036,1.3494,0.5044,0.0338,0.16,58.5592,46.9804,1,2.8,1,11.7,6
red,6.9738,0.2012,0.0111,2.0354,0.11,14.8574,59.7541,1,3.6,1,12.9,8
red,9.2304,0.3493,0.1147,4.5535,0.13,24.8321,146.5872,0.99,1.7,1.1,8.1,4
red,2.1455,1.1085,0.3811,3.3097,0.07,23.6065,147.3055,0.99,2,1,6.6,5
red,0.2195,0.0236,0.053,2.7864,0.09,54.767,158.2822,1,2.5,1,9.3,4
red,10.2146,0.4414,0.0035,1.5801,0.16,4.2158,41.6224,1,1.4,1.2,13,7
red,12.7763,0.0357,0.6247,0.2995,0.11,30.807,35.9698,1,1.6,0.6,12.8,6
red,14.4586,0.9787,0.1821,2.6616,0.18,11.3803,106.6505,1,1.4,0.5,10.4,8
red,12.5868,0.3507,0.2335,4.3973,0.08,2.649,167.7884,1,2.2,0.4,4.9,6
red,14.0823,0.7032,0.4765,4.7384,0.17,19.4793,11.0269,1,2.9,0.8,6.1,7
red,5.4153,0.4452,0.2812,1.8301,0.11,4.2286,64.9773,1,2.7,1.2,10.4,4
red,11.3128,0.174,0.2924,5.6714,0.15,48.0823,73.7194,1,2.8,0.4,5.4,8
red,1.7857,1.2105,0.474,2.3218,0.12,55.6394,17.43,1,3.1,1.3,9.9,3
red,0.4045,0.4708,0.7387,2.8883,0.12,9.3065,10.2277,0.99,3.1,0.8,10.9,6
red,10.5679,0.5303,0.5476,6.7007,0.14,29.9745,163.8426,0.99,2.4,0.3,6.7,7
red,11.0555,1.1453,0.36,3.8462,0.2,50.7364,127.0896,1.01,2.3,0.9,8.3,3
red,12.2814,1.0536,0.52,0.239,0.09,55.6923,157.5651,1,2.4,1.1,11.1,5
red,9.4033,0.5307,0.132,0.5076,0.08,23.7491,69.0147,1,3.2,1,11.3,4
red,4.8425,0.382,0.5278,3.1228,0.19,43.3221,116.6609,1,2.2,0.5,5.6,5
red,4.8495,0.1594,0.0456,3.345,0.2,11.5778,123.8395,1.01,2.5,0.3,5.5,5
red,8.6609,0.3043,0.4931,6.2705,0.11,16.1226,128.9656,0.99,1.4,0.8,12.6,4
